City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
295,Vilhena,BR,-12.7406,-60.1458,72.91,66,100,1.74,overcast clouds
296,Shagamu,NG,6.8432,3.6478,76.78,98,73,2.84,broken clouds
297,Caravelas,BR,-17.7125,-39.2481,68.04,75,37,4.85,scattered clouds
298,Bongandanga,CD,1.5,21.05,70.99,89,99,1.1,overcast clouds
299,Hastings,GB,50.8552,0.5729,59.52,79,37,3.62,scattered clouds
300,Buala,SB,-8.145,159.5921,82.72,75,85,8.99,light rain
301,Joao Pinheiro,BR,-17.7425,-46.1725,62.37,68,5,4.23,clear sky
302,Sinnamary,GF,5.3833,-52.95,76.33,86,90,6.24,overcast clouds
303,Hun,LY,29.1268,15.9477,71.73,57,0,4.54,clear sky
304,Grand-Santi,GF,4.25,-54.3833,70.92,99,37,1.9,scattered clouds
305,Khandyga,RU,62.6667,135.6,65.55,63,62,3.02,light rain
306,Goderich,CA,43.7501,-81.7165,84.52,61,58,16.11,broken clouds
307,Geraldton,AU,-28.7667,114.6,70.21,78,75,9.22,broken clouds
308,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.0,89,50,10.0,light rain
309,Nome,US,64.5011,-165.4064,45.16,81,100,9.22,overcast clouds
310,Barra Patuca,HN,15.8,-84.2833,76.84,89,97,7.38,overcast clouds
311,Tapes,BR,-30.6733,-51.3958,54.9,84,36,2.66,scattered clouds
312,Paamiut,GL,61.994,-49.6678,36.61,87,3,14.85,clear sky
313,Broome,US,42.2506,-75.833,75.58,67,40,8.05,scattered clouds
314,Richards Bay,ZA,-28.783,32.0377,54.66,63,4,11.88,clear sky
315,Kijang,KR,35.2442,129.2139,78.53,60,0,11.34,clear sky
316,Ypsonas,CY,34.6884,32.9574,75.27,94,0,4.61,clear sky
317,Gopalganj,IN,26.4667,84.4333,95.59,43,10,3.78,clear sky
318,Saint Anthony,US,45.0205,-93.218,69.66,73,0,5.75,clear sky
319,Berlevag,NO,70.8578,29.0864,39.2,87,100,13.8,overcast clouds
